cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
31,Yucatán,001,Abalá,6207048973,Vehículos de motor registrados en circulación,2011,391,No especificada
31,Yucatán,001,Abalá,6207048973,Vehículos de motor registrados en circulación,2012,427,No especificada
31,Yucatán,001,Abalá,6207048973,Vehículos de motor registrados en circulación,2013,453,No especificada
31,Yucatán,001,Abalá,6207048973,Vehículos de motor registrados en circulación,2014,478,No especificada
31,Yucatán,001,Abalá,6207048973,Vehículos de motor registrados en circulación,2015,508,No especificada
31,Yucatán,001,Abalá,6207048973,Vehículos de motor registrados en circulación,2016,557,No especificada
31,Yucatán,001,Abalá,6207048973,Vehículos de motor registrados en circulación,2017,657,No especificada
31,Yucatán,001,Abalá,6207048973,Vehículos de motor registrados en circulación,2018,722,No especificada
31,Yucatán,001,Abalá,6207048973,Vehículos de motor registrados en circulación,2019,757,No especificada
31,Yucatán,001,Abalá,6207048973,Vehículos de motor registrados en circulación,2020,765,No especificada
31,Yucatán,001,Abalá,6207048973,Vehículos de motor registrados en circulación,2021,820,No especificada
31,Yucatán,001,Abalá,6207048973,Vehículos de motor registrados en circulación,2022,949,No especificada
31,Yucatán,001,Abalá,6207048973,Vehículos de motor registrados en circulación,2023,1024,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,1997,268,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,1998,229,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,1999,365,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2000,532,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2001,640,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2002,713,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2003,819,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2004,702,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2005,851,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2006,978,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2007,1192,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2008,1324,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2009,1495,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2010,1572,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2011,1622,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2012,1721,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2013,1804,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2014,1908,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2015,2013,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2016,2148,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2017,2376,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2018,2532,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2019,2690,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2020,2875,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2021,3047,No especificada
31,Yucatán,002,Acanceh,6207048973,Vehículos de motor registrados en circulación,2022,3387,No especificada
